[     297ms] [LOG] %c欢迎使用CesiumTdt插件，%c该插件由Jason提供，%c目前支持1.120版本 color: green; font-size: 16px; font-weight: bold; color: blue; font-size: 14px; font-style: italic; color: red; font-size: 14px; font-weight: bold; @ http://localhost:8080/lib/cesiumTdt.js:0
[ 1683407ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 516 Y: 255 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683411ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2067 Y: 1019 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683412ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2067 Y: 1018 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683413ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2072 Y: 1018 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683413ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2071 Y: 1018 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683414ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 259 Y: 127 Level: 8. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683415ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2067 Y: 1020 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683441ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 258 Y: 127 Level: 8. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683442ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2068 Y: 1019 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683442ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2068 Y: 1020 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
